,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
144,381,29,1,351,,"81,8","89,3","76,0","81,3",,"255,0","326,5","249,2",,"2.930,2","3.680,1","2.870,3",10 65. el Clot,2013-04-01
145,48,8,0,40,,"76,8","65,6",-,"78,9",,"199,7","100,9","218,9",,"2.464,6","1.498,4","2.652,5",10 66. el Parc i la Llacuna del Poblenou,2013-04-01
146,20,6,0,14,,"96,1","100,8",-,"94,4",,"283,8","298,1","278,7",,"2.805,3","2.939,9","2.757,2",10 67. la Vila Olímpica del Poblenou,2013-04-01
147,126,41,5,80,,"76,0","70,2","63,4","79,7",,"245,3","233,9","251,4",,"3.150,5","3.302,3","3.070,3",10 68. el Poblenou,2013-04-01
148,85,14,1,70,,"101,0","88,9","62,0","103,9",,"665,7","392,3","721,2",,"6.367,4","4.077,6","6.832,5",10 69. Diagonal Mar i el Front Marítim del Poblenou,2013-04-01
149,581,113,57,411,,"79,6","76,7","68,1","81,9",,"195,3","191,1","196,5",,"2.263,8","2.472,6","2.202,6",10 70. el Besòs i el Maresme,2013-04-01
150,22,4,2,16,,"77,7","79,3","73,0","77,9",,"335,1","273,5","359,8",,"4.176,1","3.331,0","4.514,2",10 71. Provençals del Poblenou,2013-04-01
151,120,14,3,103,,"75,4","82,4","84,5","74,2",,"236,2","220,0","241,2",,"2.695,0","2.401,2","2.784,5",10 72. Sant Martí de Provençals,2013-04-01
152,190,13,2,175,,"73,0","57,1","50,0","74,3",,"98,6","86,6","100,5",,"1.432,0","1.516,8","1.418,7",10 73. la Verneda i la Pau,2013-04-01
153,224,42,3,179,,-,-,-,-,,-,-,-,,-,-,-,NC,2013-04-01
154,,,,,,,,,,,,,,,,,,empty,2014-01-01
155,2.658,290,53,2.315,,"82,1","86,7","68,5","81,9",,"248,4","282,9","242,7",,"2.699,3","3.050,3","2.641,5",Global,2014-01-01
156,,,,,,,,,,,,,,,,,,empty,2014-01-01
157,92,0,0,92,,"63,3",-,-,"63,3",,"114,9",-,"114,9",,"1.790,8",-,"1.790,8",1 1. el Raval,2014-01-01
158,50,7,0,43,,"104,8","88,3",-,"107,3",,"356,4","232,0","372,0",,"2.939,3","2.863,2","2.948,8",1 2. el Barri Gòtic,2014-01-01
159,59,31,0,28,,"45,5","49,3",-,"41,4",,"198,3","236,4","157,3",,"4.295,3","4.414,7","4.167,1",1 3. la Barceloneta,2014-01-01
160,61,8,0,53,,"61,7","62,4",-,"61,6",,"148,1","183,0","143,3",,"2.596,1","3.019,7","2.537,9","1 4. Sant Pere, Santa Caterina i la Ribera",2014-01-01
161,52,11,0,41,,"84,5","72,7",-,"88,0",,"254,3","349,5","221,6",,"3.027,4","4.706,2","2.450,3",2 5. el Fort Pienc,2014-01-01
162,17,1,0,16,,"69,7","60,0",-,"70,5",,"181,5","205,0","179,1",,"2.695,6","3.416,7","2.623,5",2 6. la Sagrada Família,2014-01-01
163,99,7,4,88,,"110,9","73,7","68,5","115,9",,"328,1","204,4","339,7",,"2.703,9","2.690,4","2.705,2","2 7. la Dreta de l""Eixample",2014-01-01
164,62,0,0,62,,"86,2",-,-,"86,2",,"238,2",-,"238,2",,"2.776,7",-,"2.776,7","2 8. l""Antiga Esquerra de l""Eixample",2014-01-01
165,48,0,1,47,,"75,0",-,"91,0","74,6",,"280,9",-,"280,9",,"3.809,2",-,"3.809,2","2 9. la Nova Esquerra de l""Eixample",2014-01-01
166,31,0,0,31,,"74,2",-,-,"74,2",,"206,4",-,"206,4",,"3.155,7",-,"3.155,7",2 10. Sant Antoni,2014-01-01
167,74,0,0,74,,"58,7",-,-,"58,7",,"99,5",-,"99,5",,"1.795,6",-,"1.795,6",3 11. el Poble Sec - AEI Parc Montjuïc,2014-01-01
168,2,0,0,2,,"72,5",-,-,"72,5",,-,-,-,,-,-,-,3 12. la Marina del Prat Vermell - AEI Zona Franca,2014-01-01
169,20,0,4,16,,"73,7",-,"78,0","72,3",,"112,0",-,"112,0",,"1.698,5",-,"1.698,5",3 13. la Marina de Port,2014-01-01
170,9,0,0,9,,"75,4",-,-,"75,4",,"148,6",-,"148,6",,"2.024,5",-,"2.024,5",3 14. la Font de la Guatlla,2014-01-01
171,19,0,0,19,,"58,1",-,-,"58,1",,"139,7",-,"139,7",,"2.459,2",-,"2.459,2",3 15. Hostafrancs,2014-01-01
172,18,1,0,17,,"72,6","70,0",-,"72,8",,"95,9",-,"96,3",,"1.369,0",-,"1.373,0",3 16. la Bordeta,2014-01-01
173,23,3,1,19,,"67,4","83,3","58,0","65,4",,"243,3","349,8","136,7",,"3.033,6","4.198,9","1.868,2",3 17. Sants - Badal,2014-01-01
174,49,1,0,48,,"65,9","60,0",-,"66,0",,"137,6",-,"141,4",,"1.973,3",-,"2.015,9",3 18. Sants,2014-01-01
175,99,4,1,94,,"81,8","84,5","90,0","81,6",,"242,8","260,0","241,7",,"2.928,5","3.034,0","2.921,4",4 19. les Corts,2014-01-01
176,24,0,0,24,,"100,2",-,-,"100,2",,"282,8",-,"282,8",,"2.602,7",-,"2.602,7",4 20. la Maternitat i Sant Ramon,2014-01-01
